id_aluno;nome;cpf_aluno;email;telefone;endereco;id_curso;turma;id_equipamento;id_facilitador;emprego_antes_resilia;emprego_pos_resilia;observacoes
13;Rodrigo Gomes;50334998158;rodrigo_gomes_88@yahoo.com;4126380722;Avenida Hilda do Pau Miúdo, 437, Pau Miúdo, Salvador, BA;2;T2;;16;NÃO;SIM;
14;Rafael Gomes;5065119872;rafaelgomes_cardoso@gmail.com;9529442607;Avenida Benedito Bentes, 308, Benedito Bentes, Maceió, AL;4;T4;;2;NÃO;SIM;
15;Pedro Cincinato;97621747471;cincinato_pedro@gmail.com;6839608665;Rodovia Curitiba-Quatro Barras, 621, Sítio Cercado, Curitiba,PR;1;T1;6;18;NÃO;SIM;
16;Gabriel Luz;17377943734;luzluz_gabrielsouza@hotmail.com;9127441748;Avenida Abrahão Félix Lima, 906, Jóquei Clube, Boa Vista, RR;1;T1;;3;NÃO;SIM;
17;Monica Cabral;61693846977;moni_cabral@gmail.com;2137872563;Rua Alvorada, 248,Raimundo Melo, Rio Branco, AC;1;T1;1;21;SIM;SIM;
18;Gabriela Jaqueline Nunes;58066250444;ggabrielajaquelinenunes@sunrise.com.br;8439211851;Passagem Gama Malcher, 444, Marco, Belém, PA;1;T1;;8;SIM;SIM;
19;Osvaldo Guilherme da Paz;12043338404;osvaldoguilhermedapaz-97@db4.com.br;1939360378;Rua Japeri, 321, Queimados, Queimados, RJ;3;T3;;24;SIM;SIM;
20;Marcelo Diogo Bryan Costa;74868903489;marcelodiogobryancosta-98@leonardopereira.com;4738042919;Rua Plutão,115, Igapó, Natal, RN;3;T3;;15;SIM;SIM;
21;Francisca Luana Alice Gomes;87539651326;ffranciscaluanaalicegomes@unicohost.com.br;11 988586364;Rua Humberto Melo Nóbrega, 859, Antônio Zanaga, Americana, SP;3;T3;;26;NÃO;SIM;
22;Thiago Ryan Vinicius Sales;32652096443;thiagoryanviniciussales__thiagoryanviniciussales@dsladvogados.adv.br;79993236517;Rua das Buganvilias, 629, Cidade Nova, Itajaí, SC;6;T6;;20;NÃO;SIM;
23;Francisco Samuel Cavalcanti;36397533999;franciscosamuelcavalcanti..franciscosamuelcavalcanti@nonesiglio.com.br;47983412280;Travessa da Felicidade, 135 -Vila da Penha,Rio de Janeiro, RJ;6;T6;3;1;NÃO;SIM;
24;Raimundo Arthur da Mata;15439856293;raimundoarthurdamata_@yool.com.br;82989256773;Alameda Kadiz, 859 - Tabuleiro (Monte Alegre), Camboriú, SC;6;T6;;23;NÃO;SIM;
25;Luciana Marina Aparício;41579301266;lucianamarinaaparicio..lucianamarinaaparicio@rodomen.com.br;84999142928;Travessa Senhor do Bonfim, 135 -Dezoito do Forte,Aracaju, SE;4;T4;10;1;SIM;SIM;
26;Eliane Márcia da Conceição;66964751416;elianemarciadaconceicao__elianemarciadaconceicao@tigra.com.br;51983269134;Alameda Kadiz, 555- Tabuleiro (Monte Alegre), Camboriú, SC;4;T4;;2;SIM;SIM;
27;Cauã Osvaldo da Mata;81988660785;ccauaosvaldodamata@silnave.com.br;47986927329;Rua Eluza Brito , 62 ,São Luiz II,Arapiraca, AL;4;T4;;4;SIM;SIM;
28;Alessandra Julia da Rocha;13730925725;alessandrajuliadarocha-84@doublesp.com.br;98994696072;Rua Francisco Gorgônio, 900, Lagoa Nova, Natal, RN;4;T4;12;3;SIM;;
29;Carolina Amanda Almeida;69778512957;carolinaamandaalmeida-94@diebold.com;68992349187;Rua das Figueiras, 500, Rubem Berta, Porto Alegre, RS;4;T4;;6;SIM;;
30;Mariah Renata Regina Ferreira;32074998058;mariahrenatareginaferreira..mariahrenatareginaferreira@jcffactoring.com.br;85987982147;Rua Erwin Tribess, 398, Itoupava Central, Blumenau, SC;4;T4;5;8;SIM;;
31;Márcia Marina da Rocha;78137449000;marciamarinadarocha-93@centrooleo.com.br;93992810995;Rua São Benedito, 963, Vila Sarney, São Luís, MA;4;T4;;10;SIM;;
32;Marcela Beatriz Gonçalves;27561329504;marcelabeatrizgoncalves__marcelabeatrizgoncalves@vinax.com.br;71988362419;Rua Toshiba, 950, Novo Horizonte, Rio Branco, AC;4;T4;2;15;SIM;;
33;Isabela Isabelly Lima;24851788100;isabelaisabellylima-72@studiodeideias.com;82998846632;Vila Nossa Senhora da Penha, 897, Jacarecanga, Fortaleza, CE;6;T6;;12;SIM;;
34;Priscila Sebastiana Sophie Nogueira;29039034257;priscilasebastianasophienogueira_@associate.com.br;41998250143;Acesso Dois, 695, Premem, Altamira, PA;6;T6;;20;SIM;;
35;Daniela Sara da Costa;29585404729;danielasaradacosta-85@maorifilmes.com.br;95985341156;Avenida Hilda do Pau Ferro, 800, Pau Ferro, Salvador, BA;6;T6;;13;SIM;;
36;Nina Aurora Sales;36025442908;ninaaurorasales..ninaaurorasales@haldex.com;68991359575;Avenida Benedito Bentes, 345, Benedito Bentes, Maceió, AL;6;T6;;23;SIM;NÃO;
37;Isadora Gabrielly Nunes;50825294207;iisadoragabriellynunes@proshock.com.br;91995312430;Rodovia Curitiba-Quatro Barras, 321, Sítio Cercado, Curitiba,PR;1;T1;;16;SIM;NÃO;
38;Rafaela Sophia Sales;14768361595;rafaelasophiasales..rafaelasophiasales@serteccontabil.com.br;21991518184;Avenida Abrahão Félix Lima, 946, Jóquei Clube, Boa Vista, RR;2;T2;;2;SIM;NÃO;
39;Analu Marcela Bianca Alves;65673512848;analumarcelabiancaalves-71@tahoo.com.br;84985303851;Rua Alvorada, 200,Raimundo Melo, Rio Branco, AC;3;T3;;18;NÃO;NÃO;
40;Regina Clara Alícia Figueiredo;69842780236;reginaclaraaliciafigueiredo..reginaclaraaliciafigueiredo@opcaoeduca.com.br;19981831344;Passagem Gama Malcher, 300, Marco, Belém, PA;5;T5;4;3;NÃO;NÃO;
41;Benedito Arthur Souza;27690225470;beneditoarthursouza_@superigi.com.br;47996354447;Rua Japeri, 123, Queimados, Queimados, RJ;5;T5;;21;NÃO;NÃO;
42;Pedro Kauê Bruno Galvão;62632115396;pedrokauebrunogalvao_@supracolor.com.br;4737638613;Alameda Praia Formosa, 216, Treze de Julho, Aracaju, SE;5;T5;;8;NÃO;NÃO;
43;Nelson Fábio Almeida;5475965293;nelsonfabioalmeida..nelsonfabioalmeida@regional.com.br;8527733880;Avenida das Arirambas, 748, Marabaixo, Macapá, AP;5;T5;;24;NÃO;NÃO;
44;Raimundo Thomas Tiago Costa;94950490834;raimundothomastiagocosta__raimundothomastiagocosta@tam.com.br;6929653684;Rua Doutor Ernani Cabral, 391, Candelária, Natal, RN;5;T5;;15;NÃO;SIM;
45;Valentina Tereza Jennifer da Cunha;63894548800;valentinaterezajenniferdacunha__valentinaterezajenniferdacunha@yande.com.br;8325070812;Beco Aleluia, 770,Santa Rita de Cássia,Belo Horizonte , MG;5;T5;;26;NÃO;SIM;
46;Marlene Lavínia da Luz;63894548980;marlenelaviniadaluz-80@molsanto.com;2737384306;Rua João Salvador Peres Tonico 538,Alto da Boa Vista, Mauá, SP;5;T5;;20;NÃO;SIM;
47;Emanuel Bruno Fernandes;69842780235;emanuelbrunofernandes__emanuelbrunofernandes@cedda.com.br;2136459958;Rua Avenca 656, Sitio São José, Viamão, RS;5;T5;;1;NÃO;SIM;
48;Sebastião Diogo da Mota;54759642655;ssebastiaodiogodamota@ceviu.com.br;2139163174;Rua Felipe de Souza, 526, Poço Comprido, Correntes, PE;3;T3;;23;NÃO;SIM;
49;Clarice Catarina Antônia Pires;50825294298;claricecatarinaantoniapires__claricecatarinaantoniapires@fixacomunicacao.com.br;7927577648;Avenida Filogônio Peixoto, 687, Aviso, Linhares, ES;4;T4;;24;NÃO;SIM;
50;Eloá Clarice da Cruz;36025442936;eloaclaricedacruz..eloaclaricedacruz@wizardsjc.com.br;8426717000;Corredor Público F, 892, Campo Belo III, Dourados, MS;1;T1;;15;NÃO;SIM;
